% Model,Tutorial_final_sweep_part3_solved.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 8 2022, 15:26"
% Table,Table 26 - 
% Eigenfrequency (GHz),abs(emw.Ielement_1)^2 * L_junc / (solid.Wk_tot * 2 + abs(emw.Ielement_1)^2 * L_junc / 2 + emw.intWm + emw.intWe + 0.25 * real(intop1(emw.ecd1.Jex / emw.iomega * conj(emw.Ex)+emw.ecd1.Jey / emw.iomega * conj(emw.Ey)+emw.ecd1.Jez / emw.iomega * conj(emw.Ez)))) (1)
6.422222153797771+2.0508270388962247E-7i,8.744364429898142E-6
6.422468502768738+4.603790045766609E-6i,3.5258847373938765E-4
6.422830875048261+2.324317061036107E-6i,9.248636602349939E-5
6.4229875968309855+7.045445608845543E-6i,6.924061017422718E-4
6.423662947508492+3.3535159259637543E-6i,4.1171301874477377E-4
6.423805718307575+3.781338814069179E-6i,2.2249979626578383E-4
6.423885182844225+2.3635435526361877E-6i,0.007254431355237903
6.424039368583934+1.8275111565526838E-7i,0.9539433192041703
6.424327350027227+2.8521378527794807E-6i,0.0018570242930409289
6.424365916913101+9.345332282953867E-4i,1.030839813653607E-5
6.424664143306554+1.1379943334382272E-5i,0.0012929189436828342
6.424855792424847+8.286556439141354E-6i,0.0013079422634799764
6.425139117954334+3.144476481952513E-6i,6.502684992506615E-4
6.425155091290785+0.0016452784514928665i,7.458703050372485E-5
6.425273571372361+2.331370692711064E-6i,1.7034238300908387E-4
6.425512277837741+3.4215178823829595E-5i,9.813450401156689E-5
6.425638547408648+6.829396780642608E-6i,9.838108635620839E-5
6.425652002564423+7.88027092851636E-6i,2.4766977532142257E-4
6.4258466043403315+4.464601590559003E-5i,7.998689611115447E-5
6.426120913919025+1.7757667022317703E-5i,4.917463596064709E-5
