% Model,Final.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 16 2022, 00:15"
% Dimension,1
% Nodes,55
% Expressions,1
% Description,"Displacement field, Z component"
% cln1x,w (m) @ lambda=6E-9
0,-1.7183653379319432E-23+4.312598826159994E-24i
2.000000000000001E-4,NaN
9.259259259259745E-6,7.271909427636992E-23-5.5380320671414075E-24i
1.3888888888889239E-5,1.6999479462009721E-22+1.3456890593365367E-23i
4.629629629629927E-6,1.032627827656354E-23-8.58612932287705E-24i
2.314814814814866E-5,1.8112841187961017E-22+7.0708909022959725E-25i
2.7777777777778043E-5,2.208136572794623E-22-3.2651065825702404E-24i
1.851851851851884E-5,1.641887909931539E-22+6.2810881488751244E-24i
3.7037037037037355E-5,2.4139751959352452E-22+9.861176778069483E-26i
4.166666666666685E-5,2.9556886100905365E-22+1.040013806117519E-24i
3.2407407407407753E-5,2.1647911835032864E-22-1.3364283617819602E-24i
1.861111111111115E-4,-2.0262303903319912E-24-1.6310622818949748E-25i
1.907407407407411E-4,-1.5651055328654651E-24+1.318432102487065E-25i
1.953703703703705E-4,-5.182464099490112E-25+8.60351470278596E-27i
5.092592592592605E-5,3.1667750500937345E-22+6.499620982298597E-27i
5.5555555555555545E-5,3.10863449061809E-22+2.8722350242359055E-25i
4.629629629629645E-5,3.115793089917885E-22+2.5742972221356534E-25i
1.722222222222227E-4,1.7891072461228867E-24-1.525006754587517E-25i
1.7685185185185252E-4,-2.4693179438773162E-24-3.518406300337053E-26i
1.814814814814819E-4,-3.741097156028825E-24-3.871924724693919E-26i
6.481481481481464E-5,3.656430826896862E-22+1.1780864947185235E-25i
6.944444444444424E-5,3.461934335366464E-22+3.1178899885705712E-24i
6.018518518518504E-5,3.5386642119807347E-22-8.257468459104354E-25i
1.5833333333333346E-4,-1.1346204484473916E-23-7.139234003335096E-25i
1.6296296296296328E-4,-1.3411147198612975E-24+1.5514374214538586E-25i
1.6759259259259288E-4,3.0373225236702414E-24+3.4228465043694696E-25i
7.870370370370388E-5,5.623380231534975E-22-4.534500869899606E-24i
8.333333333333326E-5,5.186556831282826E-22-1.9155877354972663E-24i
7.407407407407395E-5,5.048506066229493E-22-2.8566749618771445E-24i
1.4444444444444444E-4,-4.016895995530152E-23-7.403022194777251E-25i
1.4907407407407426E-4,1.3628719369824133E-23+1.2987852405947015E-25i
1.5370370370370364E-4,2.323630452676552E-23+1.3867146377418589E-25i
1.3055555555555542E-4,1.1046507377363067E-22-2.1464569975875743E-24i
1.3518518518518523E-4,1.1073079323681219E-22-1.299169745934561E-25i
1.3981481481481484E-4,6.051944866050292E-23+3.3880128477645094E-25i
1.1666666666666661E-4,5.593002727519001E-22+4.060068139690909E-24i
1.2129629629629643E-4,5.272749044892519E-22+3.369442498406995E-24i
1.2592592592592581E-4,3.776631714965029E-22+1.3006007859809712E-24i
8.646597651192707E-5,6.754017657281417E-22-6.782467754048348E-24i
8.803229810122365E-5,6.705841295996945E-22-5.383777424598834E-23i
8.489965492263028E-5,6.247589502376767E-22+1.0524927749458046E-23i
9.001145300460939E-5,8.603350333311259E-22+3.0119514331990835E-23i
9.19906079079949E-5,9.133899944879617E-22+3.621306205437862E-23i
9.396976281138042E-5,8.297490130702519E-22-3.5557131078808945E-23i
9.597984187425363E-5,8.430890065800607E-22+1.7157812468849948E-23i
9.798992093712684E-5,8.866840799246089E-22+2.4223269233950776E-23i
1.0000000000000005E-4,9.605342331039032E-22-1.4360760783494958E-23i
1.1196770189877666E-4,7.737546122117015E-22+4.7081798616110635E-23i
1.1353402348807345E-4,8.728520835137324E-22-3.047058063422348E-24i
1.1510034507736982E-4,8.013673036937698E-22-1.73876348888973E-23i
1.0402015812574646E-4,8.860457981793686E-22-1.328104151351527E-23i
1.0603023718861967E-4,7.932122189704809E-22+5.075775369160431E-23i
1.0201007906287325E-4,9.418198028905016E-22-3.498721300520635E-23i
1.0998854699539114E-4,8.635601043874373E-22-4.2840108417123273E-23i
1.080093920920054E-4,8.700459733070545E-22-4.161479005864528E-23i
